Field,Bitwidth,
,Rank1~4,Rank5~8
Rank Indicator,log2nRI,log2nRI
Layer Indicator,"min(2,log2υ)","min(2,log2υ)"
Wide-band CQI for the first TB,4,4
Wideband CQI for the second TB,0,4
Subband differential CQI for the first TB,2,2
Subband differential CQI for the second TB,0,2
CRI,0,0
"NOTE: is the number of allowed rank indicator values according to Clause 5.2.2.2.1a in [6, TS 38.214].  is the value of the rank. The values of the rank indicator field are mapped to allowed rank indicator values with increasing order, where '0' is mapped to the smallest allowed rank indicator value.nRIυ",,
