UCI bit sequence,CSI report number
,"CSI report #1 if CSI report #1 is not of two parts, orCSI report #1, CSI part 1, if CSI report #1 is of two parts,as in Table 6.3.1.1.2-7/7A/7B/8/8A/8B/8C/8D/8E/8F/8G/8H/9/9A/9B/9C"
,"CSI report #2 if CSI report #2 is not of two parts, orCSI report #2, CSI part 1, if CSI report #2 is of two parts,as in Table 6.3.1.1.2-7/7A/7B/8/8A/8B/8C/8D/8E/8F/8G/8H/9/9A/9B/9C"
,…
,"CSI report #n if CSI report #n is not of two parts, orCSI report #n, CSI part 1, if CSI report #n is of two parts,as in Table 6.3.1.1.2-7/7A/7B/8/8A/8B/8C/8D/8E/8F/8G/8H/9/9A/9B/9C"
"NOTE:For a CSI report #i containing  CSI sub-reports, where , either all CSI sub-reports not of two parts or CSI part 1 of all CSI sub-reports of two parts, are mapped to the corresponding segment of the UCI bit sequence of CSI report #i, from upper part to lower part of the segment, in increasing order of CSI sub-report number. CSI sub-report #1, CSI sub-report #2, …, CSI sub-report # correspond to the CSI sub-reports in increasing order of reportSubConfigId.Nisubi∈{1,2,…,n}Nisub",
