Value,Number of DMRS CDM group(s) without data,DMRS port(s)
0,1,"0,1"
1,2,"0,1"
2,2,"2,3"
3,3,"0,1"
4,3,"2,3"
5,3,"4,5"
6,2,"0,2"
7-15,Reserved,Reserved
