Field,Bitwidth
Reference CSI-RS resource index,", where  is the number of CSI-RS resources configured for the CSI report.log2NTRPNTRP"
Wideband Phase offset,", where  is configured by valueOfMPhi.log2MΦMΦ"
Subband Phase offset,", where  is configured by valueOfMPhi.log2MΦMΦ"
