CSI report number,CSI fields
CSI report #nCSI part 1,"Rank Indicator for the first CRI among the non-reported MR CRIs as in Tables 6.3.2.1.2-8C or 6.3.2.1.2-8D, if reported"
,"Wideband CQI for the first TB for the first CRI among the non-reported MR CRIs as in Tables 6.3.2.1.2-8C or 6.3.2.1.2-8D, if reported"
,"Subband differential CQI for the first TB with increasing order of subband number for the first CRI among the non-reported MR CRIs as in Tables 6.3.2.1.2-8C or 6.3.2.1.2-8D, if reported"
,"Indicator of the total number of non-zero coefficients summed across all layers  for the first CRI among the non-reported MR CRIs as in Tables 6.3.2.1.2-8D, if reportedKNZ"
,…
,"Rank Indicator for the MR-th CRI among the non-reported MR CRIs as in Tables 6.3.2.1.2-8C or 6.3.2.1.2-8D, if reported"
,"Wideband CQI for the first TB for the MR-th CRI among the non-reported MR CRIs as in Tables 6.3.2.1.2-8C or 6.3.2.1.2-8D, if reported"
,"Subband differential CQI for the first TB with increasing order of subband number for the MR-th CRI among the non-reported MR CRIs as in Tables 6.3.2.1.2-8C or 6.3.2.1.2-8D, if reported"
,"Indicator of the total number of non-zero coefficients summed across all layers  for the MR-th CRI among the non-reported MR CRIs as in Tables 6.3.2.1.2-8D, if reportedKNZ"
,…
,"First reported CRI as in Tables 6.3.2.1.2-8C or 6.3.2.1.2-8D, if reported"
,"Rank Indicator for the first reported CRI as in Tables 6.3.2.1.2-8C or 6.3.2.1.2-8D, if reported"
,"Zero padding bits  for the first reported CRI, if neededOP,1"
,"Wideband CQI for the first TB for the first reported CRI as in Tables 6.3.2.1.2-8C or 6.3.2.1.2-8D, if reported"
,"Subband differential CQI for the first TB with increasing order of subband number for the first reported CRI as in Tables 6.3.2.1.2-8C or 6.3.2.1.2-8D, if reported"
,"Indicator of the total number of non-zero coefficients summed across all layers  for the first reported CRI as in Tables 6.3.2.1.2-8D, if reportedKNZ"
,…
,"The (M-MR)-th reported CRI as in Tables 6.3.2.1.2-8C or 6.3.2.1.2-8D, if reported"
,"Rank Indicator for the (M-MR)-th reported CRI as in Tables 6.3.2.1.2-8C or 6.3.2.1.2-8D, if reported"
,"Zero padding bits  for the (M-MR)-th reported CRI, if neededOP,M-MR"
,"Wideband CQI for the first TB for the (M-MR)-th reported CRI as in Tables 6.3.2.1.2-8C or 6.3.2.1.2-8D, if reported"
,"Subband differential CQI for the first TB with increasing order of subband number for the (M-MR)-th reported CRI as in Tables 6.3.2.1.2-8C or 6.3.2.1.2-8D, if reported"
,"Indicator of the total number of non-zero coefficients summed across all layers  for the (M-MR)-th reported CRI as in Tables 6.3.2.1.2-8D, if reportedKNZ"
NOTE1:Subbands for given CSI report n indicated by the higher layer parameter csi-ReportingBand are numbered continuously in the increasing order with the lowest subband of csi-ReportingBand as subband 0.NOTE2: MR is set to 0 if higher layer parameter mrSelectedResources is not configured for the CSI report.,
