,Information fields X1,,,,,,,,,,,
,"i1,2",,"i1,6",,"i1,8,1",,"i1,8,2",,,"i1,8,3",,"i1,8,4"
Rank=1,log2PCSI-RS/2K1/2,,"if N > M=2, N/A otherwise   log2(N-1)",,log2(K1M),,N/A,,,N/A,,N/A
Rank=2,log2PCSI-RS/2K1/2,,"if N > M=2, N/A otherwise  log2(N-1)",,log2(K1M),,log2(K1M),,,N/A,,N/A
Rank=3,log2PCSI-RS/2K1/2,,"if N > M=2, N/A otherwise  log2(N-1)",,log2(K1M),,log2(K1M),,,log2(K1M),,N/A
Rank=4,log2PCSI-RS/2K1/2,,"if N > M=2, N/A otherwise  log2(N-1)",,log2(K1M),,log2(K1M),,,log2(K1M),,log2(K1M)
,Information fields X2,,,,,,,,,,,
,"i2,3,1","i2,3,2",,"i2,3,3",,"i2,3,4",,"{i2,4,l}l=1,…,υ","{i2,5,l}l=1,…,υ",,"{i1,7,l}l=1,…,υ",
Rank=1,4,N/A,,N/A,,N/A,,3(KNZ-1),4(KNZ-1),,N/A if ; otherwiseKNZ=K1MK1M,
Rank=2,4,4,,N/A,,N/A,,3(KNZ-2),4(KNZ-2),,N/A if ; otherwiseKNZ=2K1M2K1M,
Rank=3,4,4,,4,,N/A,,3(KNZ-3),4(KNZ-3),,3K1M,
Rank=4,4,4,,4,,4,,3(KNZ-4),4(KNZ-4),,4K1M,
"NOTE:the bitwidth for ,  and  shown in Table 6.3.2.1.2-2B is the total bitwidth of ,  and  up to Rank = , respectively, and the corresponding per layer bitwidths are , , and 4, (i.e., 1, 3, and 4 bits for each respective indicator elements , , and , respectively), where  as defined in Clause 5.2.2.2.7 in TS 38.214 [6] is the number of nonzero coefficients for layer  such that .{i1,7,l}l=1,…,υ{i2,4,l}l=1,…,υ{i2,5,l}l=1,…,υ{i1,7,l}{i2,4,l}{i2,5,l}υK1M3KlNZ-1KlNZ-1kl,i,f(3)kl,i,f(2)cl,i,fKlNZlKNZ=l=1υKlNZ",,,,,,,,,,,,
