Bit field mapped to index,Co-scheduled UE information
0,"In all the PRBs allocated to the UE, there is no co-scheduled UE or there is co-scheduled UE but with a different root DMRS sequence"
1,"In all the PRBs allocated to the UE, all the co-scheduled UE(s), if any, which have the same root DMRS sequence as the UE, are scheduled with modulation scheme QPSK"
2,"In all the PRBs allocated to the UE, all the co-scheduled UE(s), if any, which have the same root DMRS sequence as the UE, are scheduled with modulation scheme 16QAM"
3,"In all the PRBs allocated to the UE, all the co-scheduled UE(s), if any, which have the same root DMRS sequence as the UE, are scheduled with modulation scheme 64QAM"
4,"In all the PRBs allocated to the UE, all the co-scheduled UE(s), if any, which have the same root DMRS sequence as the UE, are scheduled with modulation scheme 256QAM"
5,"In all the PRBs allocated to the UE, all the co-scheduled UE(s), if any, which have the same root DMRS sequence as the UE, are scheduled with modulation scheme 1024QAM"
6,"In each individual PRB allocated to the UE, all the co-scheduled UE(s), which have the same root DMRS sequence as the UE, are scheduled with the same modulation scheme, except the cases corresponding to index 0~5"
7,All cases not covered above
"Note:Root DMRS sequence is as defined in clause 7.4.1.1.1 of [4, TS 38.211]rn",
