Value of Beta_offset indicator,Beta_offset index in Table 9.3-2 of  TS 38.213 [5]
00,1st index provided by higher layer parameter sl-BetaOffsets2ndSCI
01,2nd index provided by higher layer parameter sl-BetaOffsets2ndSCI
10,3rd index provided by higher layer parameter sl-BetaOffsets2ndSCI
11,4th index provided by higher layer parameter sl-BetaOffsets2ndSCI
