CSI report number,CSI fields
CSI report #nCSI part 1,CRI for the first reported CRI as in Tables 6.3.1.1.2-3
,"Rank Indicator for the first reported CRI as in Tables 6.3.1.1.2-3, if reported"
,"Zero padding bits  for the first reported CRI, if neededOP,1"
,"Wideband CQI for the first TB for the first reported CRI as in Tables 6.3.1.1.2-3, if reported"
,"Subband differential CQI for the first TB with increasing order of subband number for the first reported CRI as in Tables 6.3.1.1.2-3, if reported"
,…
,CRI for the M-th reported CRI as in Tables 6.3.1.1.2-3
,"Rank Indicator for the M-th reported CRI as in Tables 6.3.1.1.2-3, if reported"
,"Zero padding bits  for the M-th reported CRI, if neededOP,M"
,"Wideband CQI for the first TB for the M-th reported CRI as in Tables 6.3.1.1.2-3, if reported"
,"Subband differential CQI for the first TB with increasing order of subband number for the M-th reported CRI as in Tables 6.3.1.1.2-3, if reported"
NOTE:Subbands for given CSI report n indicated by the higher layer parameter csi-ReportingBand with value set to '1' are numbered continuously in the increasing order with the lowest subband of csi-ReportingBand with value set to '1' as subband 0.,
