PreambleFormat,DELTA_PREAMBLE values (dB)
A1,8 + 3 × μ
A2,5 + 3 × μ
A3,3 + 3 × μ
B1,8 + 3 × μ
B2,5 + 3 × μ
B3,3 + 3 × μ
B4,3 × μ
C0,11 + 3 × μ
C2,5 + 3 × μ
