Index,LCID values
0,SCCH carrying PC5-S messages that are not protected
1,"SCCH carrying PC5-S messages ""Direct Security Mode Command"" and ""Direct Security Mode Complete"",""ProSe direct link security mode command"" and ""ProSe direct link security mode complete"""
2,SCCH carrying other PC5-S messages that are protected
3,SCCH carrying PC5-RRC messages
4–19,Identity of the logical channel
20,"SCCH carrying PC5-S messages (""Direct Security Mode Command"" and ""Direct Security Mode Complete"") which is used for duplication"
21,SCCH carrying other PC5-S messages that are protected which is used for duplication
22,SCCH carrying PC5-RRC messages which is used for duplication
23-38,Identity of the logical channel which is used for duplication
39–52,Reserved
53,Enhanced Sidelink Inter-UE Coordination Request
54,Enhanced Sidelink Inter-UE Coordination Information
55,SCCH carrying end-to-end SL-SRB0/1/2/3 messages delivered via SL-U2U-RLC as specified in TS 38.331 [5]
56,SCCH carrying RRC messages delivered via SL-RLC0 as specified in TS 38.331 [5]
57,SCCH carrying RRC message delivered via SL-RLC1 as specified in TS 38.331 [5]
58,SCCH for Sidelink Discovery Messages
59,Sidelink Inter-UE Coordination Request
60,Sidelink Inter-UE Coordination Information
61,Sidelink DRX Command
62,Sidelink CSI Reporting
63,Padding
