Index,BS value,Index,BS value,Index,BS value,Index,BS value
0,0,8,≤ 102,16,≤ 1446,24,≤ 20516
1,≤ 10,9,≤ 142,17,≤ 2014,25,≤ 28581
2,≤ 14,10,≤ 198,18,≤ 2806,26,≤ 39818
3,≤ 20,11,≤ 276,19,≤ 3909,27,≤ 55474
4,≤ 28,12,≤ 384,20,≤ 5446,28,≤ 77284
5,≤ 38,13,≤ 535,21,≤ 7587,29,≤ 107669
6,≤ 53,14,≤ 745,22,≤ 10570,30,≤ 150000
7,≤ 74,15,≤ 1038,23,≤ 14726,31,> 150000
