Codepoint/Index,LCID values
0,"CCCH of size 64 bits, except for an (e)RedCap UE"
1–32,Identity of the logical channel of DCCH and DTCH
33,Extended logical channel ID field (two-octet eLCID field)
34,Extended logical channel ID field (one-octet eLCID field)
35,CCCH of size 48 bits for a RedCap UE
36,CCCH of size 64 bits for a RedCap UE
37–42,Reserved
43,Truncated Enhanced BFR (one octet Ci)
44,Timing Advance Report
45,Truncated Sidelink BSR
46,Sidelink BSR
47,Reserved
48,LBT failure (four octets)
49,LBT failure (one octet)
50,BFR (one octet Ci)
51,Truncated BFR (one octet Ci)
52,"CCCH of size 48 bits, except for an (e)RedCap UE"
53,Recommended bit rate query
54,Multiple Entry PHR (four octets Ci)
55,Configured Grant Confirmation
56,Multiple Entry PHR (one octet Ci)
57,Single Entry PHR
58,C-RNTI
59,Short Truncated BSR
60,Long Truncated BSR
61,Short BSR
62,Long BSR
63,Padding
"NOTE:CCCH of size 48 bits and CCCH of size 64 bits are referred to as CCCH and CCCH1, respectively, in TS 38.331 [5].",
