Codepoint/Index,LCID values
0,CCCH
1–32,"Identity of the logical channel of DCCH, DTCH and multicast MTCH"
33,Extended logical channel ID field (two-octet eLCID field)
34,Extended logical channel ID field (one-octet eLCID field)
35–46,Reserved
47,Recommended bit rate
48,SP ZP CSI-RS Resource Set Activation/Deactivation
49,PUCCH spatial relation Activation/Deactivation
50,SP SRS Activation/Deactivation
51,SP CSI reporting on PUCCH Activation/Deactivation
52,TCI State Indication for UE-specific PDCCH
53,TCI States Activation/Deactivation for UE-specific PDSCH
54,Aperiodic CSI Trigger State Subselection
55,SP CSI-RS/CSI-IM Resource Set Activation/Deactivation
56,Duplication Activation/Deactivation
57,SCell Activation/Deactivation (four octets)
58,SCell Activation/Deactivation (one octet)
59,Long DRX Command
60,DRX Command
61,Timing Advance Command
62,UE Contention Resolution Identity
63,Padding
