PRACH Mask Index/msgA-SSB-SharedRO-MaskIndex/ssb-SharedRO-MaskIndex,Allowed PRACH occasion(s) of SSB
0,All
1,PRACH occasion index 1
2,PRACH occasion index 2
3,PRACH occasion index 3
4,PRACH occasion index 4
5,PRACH occasion index 5
6,PRACH occasion index 6
7,PRACH occasion index 7
8,PRACH occasion index 8
9,Every even PRACH occasion
10,Every odd PRACH occasion
11,Reserved
12,Reserved
13,Reserved
14,Reserved
15,Reserved
