Logical channel name,Acronym,Control channel,Traffic channel
Broadcast Control Channel,BCCH,X,
Paging Control Channel,PCCH,X,
Common Control Channel,CCCH,X,
Dedicated Control Channel,DCCH,X,
Dedicated Traffic Channel,DTCH,,X
MBS Control Channel,MCCH,X,
MBS Traffic Channel,MTCH,,X
Sidelink Broadcast Control Channel,SBCCH,X,
Sidelink Control Channel,SCCH,X,
Sidelink Traffic Channel,STCH,,X
