Attribute,CEModeB
DCI format,6-1B
Starting OFDM symbols,2; Bandwidth >= 10MHz3; 3MHz <= Bandwidth < 10MHz4; Bandwidth = 1.4MHz
MPDCCH Aggregation level (ECCE) Note2,24
M-PDCCH Transmission type,Distributed
