Configuration,Physical Layer Measurement period: TMeasurement_Period _Inter_FDD [ms] (normal performance),Physical Layer Measurement period: TMeasurement_Period _Inter_FDD [ms] (reduced performance),Measurement bandwidth [RB]
0,"960 x Kn x Nfreq,n","960 x Kr x Nfreq,r",6
1 (Note),"480 x Kn x  Nfreq,n","480 x Kr x  Nfreq,r",50
Note:This configuration is optional,,,
