Positioning subframe configuration period,Number of PRS positioning occasions,
,f21 Note1,f1 and f2 Note2
160 ms,,
>160 ms,,
"Note 1:When inter-frequency RSTD measurements are performed over the reference cell and neighbour cells, which belong to the TDD inter-frequency carrier frequency f2.Note 2:When inter-frequency RSTD measurements are performed over the reference cell and the neighbour cells, which belong to the serving TDD carrier frequency f1 and the TDD inter-frequency carrier frequency f2 respectively.",,
