Measurement bandwidth[RB],Discovery signal occasion duration (ds-OccasionDuration) [ms],TMeasurement_Period inter_FDD_CRS_DRX [ms]
6,≥1,"5 *  Max{ TDMTC_periodicity, DRX cycle length,MGRP}*Nfreq"
25,≥1,"3 *  Max{ TDMTC_periodicity, DRX cycle length,MGRP}*Nfreq"
