Measurement bandwidth [RB],Discovery signal occasion duration (ds-OccasionDuration) [ms],Tmeasure_scc_CSI-RS [ms]
≥ 6,≥1,5* measCycleSCell
≥ 25,≥1,3* measCycleSCell
