Measurement bandwidth[RB],Discovery signal occasion duration (ds-OccasionDuration) [ms],Tmeasure_scc_CRS_DRX [ms]
6,≥1,"5*  Max{ measCycleSCell, DRX cycle length }"
25,≥1,"3 *  Max{ measCycleSCell, DRX cycle length }"
