SCH Ês/Iot,CRS measurement bandwidth [RB] Note2,CRS Ês/Iot,Tmeasure_intra_FS3_CRS_DRX [ms]
0 ≤ SCH Ês/Iot,<25,-6 ≤ CRS Ês/Iot,"(5+M)* k1*k2*Max{TDMTC_periodicity, DRX cycle length}"
-6 ≤ SCH Ês/Iot < 0,<25,,"(20+M)* k1*k2*Max{TDMTC_periodicity, DRX cycle length}"
0 ≤ SCH Ês/Iot,25,0 ≤ CRS Ês/Iot,"(1+M)* k1*k2*Max{TDMTC_periodicity, DRX cycle length}"
-6 ≤ SCH Ês/Iot < 0,25,,"(4+M)* k1*k2*Max{TDMTC_periodicity, DRX cycle length}"
"NOTE 1:Discovery signal occasion duration (ds-OccasionDuration) is 1 ms.NOTE 2:The requirements for measurement bandwidth ≥25 RB are optional.NOTE 3:k1=2 when the measurement gaps configured for inter-frequency measurements in DMTC occasions or for inter-frequency RSSI measurements in RMTC occasions on a carrier with frame structure 3 overlap with some but not all DMTC occasions of the measured cell during ON DURATION; otherwise, k1=1, e.g., when measurement gaps configured for inter-frequency measurements on a carrier with frame structure 3 do not overlap with DMTC occasions of the measured cell during ON DURATION or when the UE does not require the measurement gaps for the inter-frequency measurements. The requirements apply, provided that the inter-frequency measurement gap pattern does not overlap with all DMTC occasions of the measured cell.k2= when DMTC occasions in the measured cell not overlapping with the inter-frequency measurement gaps measurement gaps overlap with DMTC occasions of NFS3_SCC (NFS3_SCC>0) SCells during ON DURATION on other FS3 carriers; otherwise, k2=1, e.g., when NFS3_SCC is 0.NOTE 4:The requirements apply, provided that M is such that the intra-frequency measurement period Tmeasure_intra_FS3_CRS_DRX does not exceed 60*k1*k2* Max{TDMTC_periodicity, DRX cycle length}.",,,
