DRX cycle length (s),Tmeasure_SSTD1 (s) (DRX cycles)
≤0.04,0.2 (Note1)
0.04<DRX-cycle≤2.56,Note2 (5)
"Note1:Number of DRX cycle depends upon the DRX cycle in useNote2:Time depends upon the DRX cycle in useNote3: DRX cycle length in this table refers to the DRX cycle length configured on the CG in which DRX is used. When DRX is used in both MCG and SCG, DRX cycle length in this table refers to the longer DRX cycle length between MCG DRX and SCG DRX.",
