DRX cycle length (s),Tidentify_intra_eICIC (s) (DRX cycles)
≤0.04,1 (Note1)
0.04<DRX-cycle≤0.08,Note2 (52)
0.128,4.22 (33)
0.128<DRX-cycle≤2.56,Note2 (28)
Note1:Number of DRX cycle depends upon the DRX cycle in useNote2:Time depends upon the DRX cycle in use,
