Measurement bandwidth [RB],Discovery signal occasion duration (ds-OccasionDuration) [ms],Tmeasure_scc_CSI-RS_DRX [ms]
≥ 6,≥2,"5* max {measCycleSCell, DRX cycle length }"
≥ 25,≥2,"3* max {measCycleSCell, DRX cycle length }"
