"Condition NOTE1,2,3,4",T SSB_measurement_period_NR_cca
No DRX,"Max(200ms, (8+ Lmeas)  max(MGRP, SMTC period))  CSSFNR,EN-DC"
DRX cycle ≤ 320ms,"Max(200ms, ceil((8+ Lmeas)  x 1.5)  max(MGRP, SMTC period, DRX cycle))  CSSFNR,EN-DC"
DRX cycle > 320ms,"(8+ Lmeas)  DRX cycle  CSSFNR,EN-DC"
"NOTE 1: DRX or non DRX requirements apply according to the conditions described in clause 3.6.1 of TS 38.133 [50]NOTE 2: In EN-DC operation, the parameters, timers and scheduling requests referred to in clause 3.6.1  of TS 38.133 [50] are for the secondary cell group. The DRX cycle is the DRX cycle of the secondary cell group.NOTE 3: Lmeas is the number of SMTC occasion not available at the UE during T SSB_measurement_period_NR_cca, where Lmeas ≤ Lmeas,max. When configured with DRX, the UE is not required to determine the availability of SMTC occasions more frequent than once per DRX cycle. When configured with measurement gaps, the UE is not required to determine the availability of SMTC occasions more frequent than once during MGRP.NOTE 4:   Lmeas,max = 12 for max(DRX cycle, SMTC period, MGRP) ≤ 40 ms, Lmeas,max = 8 for max(DRX cycle, SMTC period, MGRP) ≤ 320 ms, and Lmeas,max = 5 for DRX cycle > 320 ms.",
