"Condition NOTE1,2,3,4",TPSS/SSS_sync_NR_cca
No DRX,"Max(600ms, (8 +LPSS/SSS,gaps)  Max(MGRP, SMTC period))  CSSFNR,EN-DC"
DRX cycle ≤ 320ms,"Max(600ms, ceil((8+LPSS/SSS,gaps)  1.5)  Max(MGRP, SMTC period, DRX cycle))  CSSFNR,EN-DC"
DRX cycle > 320ms,"(8 +LPSS/SSS,gaps)  DRX cycle  CSSFNR,EN-DC"
"NOTE 1: DRX or non DRX requirements apply according to the conditions described in clause 3.6.1 of TS 38.133 [50]NOTE 2: In EN-DC operation, the parameters, timers and scheduling requests referred to in clause 3.6.1 of TS 38.133 [50]are for the secondary cell group. The DRX cycle is the DRX cycle of the secondary cell group.NOTE 3: LPSS/SSS,gaps is the number of SMTC occasion not available at the UE during TPSS/SSS_sync_NR_cca, where LPSS/SSS,gaps ≤ LPSS/SSS,gaps,max. When configured with DRX, the UE is not required to determine the availability of SMTC occasions more frequent than once per DRX cycle. When configured with measurement gaps, the UE is not required to determine the availability of SMTC occasions more frequent than once during MGRP.NOTE 4:   LPSS/SSS,gaps = 12 for max(DRX cycle, SMTC period, MGRP) ≤ 40 ms LPSS/SSS,gaps = 8 for 40 ms < max(DRX cycle, SMTC period, MGRP) ≤ 320 ms, and LPSS/SSS,gaps = 5 for DRX cycle > 320 ms.",
