DRX cycle length (s),Tidentify_intra_FeICIC (s)(DRX cycles)
≤0.04,1 (Note 1)
0.04<DRX-cycle≤0.08,Note 2 (52)
0.128,4.22 (33)
0.128<DRX-cycle≤2.56,Note 2 (28)
NOTE 1:Number of DRX cycle depends upon the DRX cycle in use.NOTE 2:Time depends upon the DRX cycle in use.,
