Condition,Lmax
"max(DRX cycle, SMTC period) ≤ 40 ms",7
"40 ms < max(DRX cycle, SMTC period) ≤ 320 ms",5
DRX cycle > 320 ms,3
"Note 1:DRX cycle length in this table refers to the DRX cycle length configured for PCell or PSCell. When DRX is used in both PCell and PSCell, DRX cycle length in this table refers to the longer of the DRX cycle lengths for PCell and PSCell. When no DRX is used in both PCell and PSCell, DRX cycle = 0.Note 2:The SMTC period is the one used by PSCell.",
