UE synchronisation status,handover delay [ms]
The UE has synchronised to the GSM cell before the RRC MOBILITY FROM E-UTRA COMMAND is received,90
The UE has not synchronised to the GSM cell before the RRC MOBILITY FROM E-UTRA COMMAND is received,190
