Condition NOTE1,TSSB_time_index_irat_RedCap
No DRX,"Max(160ms, 6  Max(MGRP, SMTC period))  Nfreq_RedCap"
DRX cycle ≤ 320ms,"Max(160ms, Ceil(6  1.5)  Max(MGRP, SMTC period, DRX cycle))  Nfreq_RedCap"
DRX cycle > 320ms,6  DRX cycle  Nfreq_RedCap
NOTE 1: DRX or non DRX requirements apply according to the conditions described in section 3.6.1 of TS 38.133 [50].,
