Configuration,Measurement bandwidth [RB],Number of UL/DL sub-frames per half frame (5 ms),,DwPTS,,TMeasurement_Period_TDD_Inter [ms]
,,DL,UL,Normal CP,Extended CP,
0,6,2,2,,,"480 x CSSFE-UTRA, NSA"
1 (Note 1),50,2,2,,,"240 x CSSFE-UTRA, NSA"
2,6,1,3,,,"720 x CSSFE-UTRA, NSA"
3 (Note 1),50,1,3,,,"480 x CSSFE-UTRA, NSA"
Note 1:This configuration is optionalNote 2:Ts is defined in TS 36.211 [16],,,,,,
