DRX cycle length (s),Tmeasure_FDD_UE_Rx_Tx1 (s) (DRX cycles)
< 0.128,0.48 (Note1)
0.128 ≤ DRX-cycle ≤ 2.56,Note2 (5)
Note 1:Number of DRX cycle depends upon the DRX cycle in useNote 2:Time depends upon the DRX cycle in use,
