TDD UL/DL configuration for serving cell,Minimum number of transmitted ACK/NACKs
0 (Note 1),18
1,30
Note 1:When a UE is configured with EIMTA-MainConfigServCell via RRC signalling [2] only this requirement shall apply.Note 2:The requirement for other TDD UL/DL configuration is not specified.,
