Positioning subframe configuration period,Number of PRS positioning occasions,
,f1 Note1,f1 and f2 Note2
160 ms,,
>160 ms,,
"Note 1:When only intra-frequency RSTD measurements are performed over cells belonging to the serving FDD carrier frequency f1.Note 2:When intra-frequency RSTD and inter-frequency RSTD measurements are performed over cells belonging to the serving FDD carrier frequency f1 and one inter-frequency carrier frequency f2, respectively.",,
