Configuration,Physical Layer Measurement period: TMeasurement_Period _Inter_FDD [ms],Measurement bandwidth [RB]
0,"480 x CSSFE-UTRA, NSA",6
1 (Note 1),"240 x CSSFE-UTRA, NSA",50
Note 1:This configuration is optional,,
