"ceil(Nfreq,n * Kn –Mgsm)","Tenhanced_identify,gsm(ms)",,"Tenhanced_reconfirm,gsm(ms)",
,40ms gap configuration (ID 0),40ms gap configuration when interfrequency RSTD measurement is also configured and the UE requires measurement gaps for performing such measurements,40ms gap configuration (ID 0),40ms gap configuration when interfrequency RSTD measurement is also configured and the UE requires measurement gaps for performing such measurements
0,1320,2160,1080,1920
