"Condition NOTE1,2",TPSS/SSS_sync_irat
No DRX,"Max(600ms, 8  Max(MGRP, SMTC period))  Nfreq"
DRX cycle ≤ 320ms,"Max(600ms, Ceil(81.5)  Max(MGRP, SMTC period, DRX cycle))  Nfreq"
DRX cycle > 320ms,8  DRX cycle  Nfreq
NOTE 1: DRX or non DRX requirements apply according to the conditions described in section 5.,
