Reported value,Measured quantity value (dB)
POWER_HEADROOM_0,-54  PH  -20
POWER_HEADROOM_1,-20  PH  -10
POWER_HEADROOM_2,-10  PH  0
POWER_HEADROOM_3,PH ≥ 0
