Condition NOTE1,TSSB_time_index_irat_RedCap
No DRX,"Max(120ms, 3  Max(MGRP, SMTC period))  Nfreq_RedCap"
DRX cycle ≤ 320ms,"Max(120ms, Ceil(3  1.5)  Max(MGRP, SMTC period, DRX cycle))  Nfreq_RedCap"
DRX cycle > 320ms,3  DRX cycle  Nfreq_RedCap
NOTE 1: DRX or non DRX requirements apply according to the conditions described in section 3.6.1 of TS 38.133 [50].,
