eDRX_IDLE cycle length [s],DRX cycle length [s],PTW length [s] (number of 1.28s periods),"Tdetect,EUTRAN_Intra_EC [s] (number N of DRX or eDRX cycles Note 5) for neighboring cell with SCH Es/IoT: -15≤ Q2 < -6 [dB]","Tdetect,EUTRAN_Intra_EC [s] (number N of DRX or eDRX cycles Note 5) for neighboring cell with SCH Es/IoT:Q2-6 [dB]","Tmeasure,EUTRAN_Intra_EC [s] (number N of DRX or eDRX cycles Note 5)","Tevaluate,E-UTRAN_intra_EC[s] (number N of DRX or eDRX cycles Note 5)","Tevaluate,E-UTRAN_intra_EC_RSS[s] (number N of DRX or eDRX cycles Note 5)"
5.12,N/A,N/A,2078.72 (406),133.12 (26),5.12 (1),30.72 (6),25.6 (5)
10.24 ≤ eDRX_IDLE cycle length ≤ 2621.44,0.32,≥1.28 (1),Note 3 (406),Note 3 (26),0.32 (1),Note 3 (6),Note 3 (5)
,0.64,≥1.28 (1),,,0.64 (1),Note 3 (6),Note 3 (5)
,1.28,≥2.28 (1),,,1.28 (1),Note 3 (6),Note 3 (5)
,2.56,≥2.56 (2),,,2.56 (1),Note 3 (6),Note 3 (5)
"Note 1:The number of DRX cycles in this table is given for the DRX cycles within PTWs.Note 2:The eDRX_IDLE cycle lengths are as specified in Section 10.5.5.32 of TS 24.008 [34].Note 3:The detection period and the evaluation period depend on the number N of DRX cycles and are calculated according to the formula below:. Note 4:VoidNote 5:Number of eDRX cycles when eDRX_IDLE cycle length equals 5.12s, number of DRX cycles otherwise",,,,,,,
