Measurement bandwidth [RB],Discovery signal occasion duration (ds-OccasionDuration) [ms],Tmeasure_scc_CSI-RS_DRX [ms]
≥ 6,≥1,"5* max {measCycleSCell, DRX cycle length }"
≥ 25,≥1,"3* max {measCycleSCell, DRX cycle length }"
