Reported value,Measured quantity value (dB)
POWER_HEADROOM_0,-54  PH  -10
POWER_HEADROOM_1,-10  PH  -2
POWER_HEADROOM_2,-2  PH  6
POWER_HEADROOM_3,PH ≥ 6
