DRX cycle length (s),"Tmeasure,GSM (s) (DRX cycles)"
≤0.064,Non DRX Requirements are applicable
0.064<DRX-cycle≤ 0.08,"Note (6*CSSFGSM, NSA)"
0.08<DRX-cycle≤ 2.56,"Note (5*CSSFGSM, NSA)"
Note:Time depends upon the DRX cycle in use,
