"Condition NOTE1,2",TSSB_time_index_irat
No DRX,"max(120ms, ceil(3  Kp)  max(TLB, SMTC period))  Nfreq"
DRX cycle < 320ms,"max(120ms, ceil(3  Kp  M)  max(TLB, SMTC period, DRX cycle))  Nfreq"
DRX cycle ≥ 320ms,"ceil(3  Kp)  max(TLB, DRX cycle)  Nfreq"
"NOTE 1: DRX or non DRX requirements apply according to the conditions described in section 5.NOTE 2: M = 1 when SMTC < = 40ms, and M = 1.5 when SMTC > 40ms",
