DRX cycle length (s),Tmeasure_intra_UE cat 0 (s) (DRX cycles)
≤0.04,0.4 (Note1)
0.04<DRX-cycle≤0.16,Note2 (7)
0.16<DRX-cycle≤2.56,Note2(5)
Note1: Number of DRX cycle depends upon the DRX cycle in useNote2: Time depends upon the DRX cycle in use,
