NSCH Ês/Iot of already identified cell including serving cell: Q1,Neighbouring cell NSCH Ês/Iot: Q2,Cell Reselection Margin‘Y’
-15≤Q1<-6,-15≤ Q2 < -6,9.3
-15≤Q1<-6,Q2-6,9.3
Q1 -6,Q2-6,5
