DRX cycle length (s),Tmeasure_intra (s) (DRX cycles)
≤0.04,0.2 (Note1)
0.04<DRX-cycle≤0.08,Note2 (4)
0.08<DRX-cycle≤1.28,Note2 (3)
1.28<DRX-cycle≤2.56,Note2 (5)
Note1: Number of DRX cycle depends upon the DRX cycle in use.Note2: Time depends upon the DRX cycle in use.,
