Parameter,Io Note 1 range,,
,"Minimum Io Note 2, 3",,Maximum Io
,dBm/ SCSSSB,,dBm/BWChannel
,SCSSSB = 15 kHz,SCSSSB = 30 kHz,
Conditions,"Same value as SSB_RP in Table B.2.4.1-2, according to UE Power class, operating band and angle of arrival","Same value as SSB_RP in Table B.2.4.1-2, according to UE Power class, operating band and angle of arrival",50
"NOTE 1:Io is assumed to have constant EPRE across the bandwidth and specified at the Reference point.NOTE 2: Values based on Refsens and EIS spherical coverage as defined in TS 38.101-2 [19] clauses 7.3.2 and 7.3.4. Applicable side condition selected depending on angle of arrival.NOTE 3:In the test cases, the SSB Ês/Iot and related parameters may need to be adjusted to ensure Ês/Iot at UE baseband is above the value defined in this table.",,,
