SCH Ês/Iot,CRS measurement bandwidth [RB] Note2,CRS Ês/Iot,Tidentify_intra_FS3 [ms]
0 ≤ SCH Ês/Iot,<25,-6 ≤ CRS Ês/Iot,(6+L) * k1*k2* TDMTC_periodicity
-6 ≤ SCH Ês/Iot < 0,<25,,(24+L) * k1*k2* TDMTC_periodicity
0 ≤ SCH Ês/Iot,25,0 ≤ CRS Ês/Iot,(2+L) * k1*k2* TDMTC_periodicity
-6 ≤ SCH Ês/Iot < 0,25,,(8+L) * k1*k2* TDMTC_periodicity
"NOTE 1:Discovery signal occasion duration (ds-OccasionDuration) is 1 ms.NOTE 2:The requirements for measurement bandwidth ≥25 RB are optional.NOTE 3:k1=2 when the measurement gaps configured for inter-frequency measurements in DMTC occasions or for inter-frequency RSSI measurements in RMTC occasions on a carrier with frame structure 3 overlap with some but not all DMTC occasions of the measured cell; otherwise, k1=1, e.g., when measurement gaps configured for inter-frequency measurements on a carrier with frame structure 3 do not overlap with DMTC occasions of the measured cell or when the UE does not require the measurement gaps for the inter-frequency measurements. The requirements apply, provided that the inter-frequency measurement gap pattern does not overlap with all DMTC occasions of the measured cell.k2= when DMTC occasions in the measured cell not overlapping with the inter-frequency measurement gaps overlap with DMTC occasions of NFS3_SCC (NFS3_SCC>0) SCells on other FS3 carriers; otherwise, k2=1, e.g., when NFS3_SCC is 0.NOTE 4:The requirements apply, provided that L is such that the intra-frequency cell identification period Tidentify_intra_FS3 does not exceed 72*k1*k2 TDMTC_periodicity.",,,
