DRX cycle length [s],Scaling Factor (N1),,"Tdetect,NR [s] (number of DRX cycles)","Tmeasure,NR [s] (number of DRX cycles)","Tevaluate,NR[s] (number of DRX cycles)"
,FR1,FR2Note1,,,
0.32,1,8,11.52 x 1.5 x N1(36 x 1.5 x N1),1.28 x 1.5 x N1(4 x 1.5 x N1),5.12 x 1.5 x N1(16 x 1.5 x N1)
0.64,,5,17.92 x N1(28 x N1),1.28 x N1(2 x N1),5.12 x N1(8 x N1)
1.28,,4,32 x N1(25 x N1),1.28 x N1(1 x N1),6.4 x N1(5 x N1)
2.56,,3,58.88 x N1(23 x N1),2.56 x N1(1 x N1),7.68 x N1(3 x N1)
"NOTE 1:Applies for UE supporting power class 2&3&4. For UE supporting power class 1 or 5, N1 = 8 for all DRX cycle length.",,,,,
