eDRX_CONN cycle length [s],TEvaluate_Qout_DRX  and TEvaluate_Qin_DRX  [s] (eDRX_CONN cycles),
2.56 < eDRX_CONN cycle ≤ 10.24,Note  (5),
Note:Evaluation period length in time depends on the length of the eDRX_CONN cycle in use,,
