Neighouring cell SCH Ês/Iot: Q2 [dB],Gap pattern ID,Cell identification delay (Tidentify_intra_UE cat M1),Measurement delay (Tmeasure_intra_UE cat M1)
-15≤ Q2 < -6,0,320.8 * Kinter_M1_EC *  KRSTD_M1_EC s,800 * Kinter_M1_EC *  KRSTD_M1_EC ms
,1,321.6 * Kinter_M1 s,1600  * Kinter_M1 ms
Q2-6,0,21.8 * Kinter_M1_EC *  KRSTD_M1_EC s,800 * Kinter_M1_EC *  KRSTD_M1_EC  ms
,1,22.6 * Kinter_M1_EC s,1600 * Kinter_M1_EC ms
