Positioning subframe configuration period TPRS,Number of PRS positioning occasions M,
,f2 Note1,f1 and f2 Note2
160 ms,16 × CSSFinterFreq,32 × CSSFinterFreq
>160 ms,8 × CSSFinterFreq,16 × CSSFinterFreq
"NOTE 1:When inter-frequency RSTD measurements are performed over the reference cell and neighbour cells, which belong to the TDD inter-frequency carrier frequency f2.NOTE 2:When inter-frequency RSTD measurements are performed over the reference cell and the neighbour cells, which belong to the serving TDD carrier frequency f1 and the TDD inter-frequency carrier frequency f2 respectively.",,
