DRX cycle length [s],TdetectUTRA_TDD [s],TmeasureUTRA_TDD [s] (number of DRX cycles),TevaluateUTRA_TDD[s] (number of DRX cycles)
0.32,30,5.12 (16),15.36 (48)
0.64,,5.12 (8),15.36 (24)
1.28,,6.4(5),19.2 (15)
2.56,60,7.68 (3),23.04 (9)
