"Reported value, m",f(NR)
MCH_NR_M_00,0  f(NR)  1
MCH_NR_M_01,1 f(NR)  2
MCH_NR_M_02,2 f(NR)  3
…,…
MCH_NR_M_253,253  f(NR)  254
MCH_NR_M_254,254 f(NR)  255
MCH_NR_M_255,255 f(NR)
