Reported value,Measured quantity value (dB)
POWER_HEADROOM_0,-54  PH  5
POWER_HEADROOM_1,5  PH  8
POWER_HEADROOM_2,8  PH  11
POWER_HEADROOM_3,PH ≥ 11
