DRX cycle length [s],"Tdetect,EUTRAN_Intra [s] (number of DRX cycles)","Tmeasure,EUTRAN_Intra [s] (number of DRX cycles)","Tevaluate,E-UTRAN_intra[s] (number of DRX cycles)"
0.32,2.56 (8),0.32(1),0.96(3)
0.64,5.12 (8),0.64 (1),1.92 (3)
1.28,8.96 (7),1.28 (1),3.84 (3)
2.56,58.88 (23),2.56 (1),7.68 (3)
