Synchronisation status,Interruption time [ms]
The UE has synchronised to the GSM cell before the RRC MOBILITY FROM E-UTRA COMMAND is received,40
The UE has not synchronised to the GSM cell before the RRC MOBILITY FROM E-UTRA COMMAND is received,140
