Measurement bandwidth [RB],Discovery signal occasion duration (ds-OccasionDuration) [ms],Tmeasure_scc_CSI-RS [ms]
≥ 6,≥2,5* measCycleSCell
≥ 25,≥2,3* measCycleSCell
