"Condition NOTE1,2,3,4",TSSB_time_index_irat_cca
No DRX,"Max(120ms, (3 + Lind,gaps)  Max(MGRP, SMTC period))  Nfreq"
DRX cycle ≤ 320ms,"Max(120ms, ceil((3+ Lind,gaps) x 1.5)  Max(MGRP, SMTC period, DRX cycle))  Nfreq"
DRX cycle > 320ms,"(3+ Lind,gaps)  DRX cycle  Nfreq"
"NOTE 1:DRX or non DRX requirements apply according to the conditions described in section 5NOTE 3: Lind,gaps is the number of SMTC occasions not available at the UE during TSSB_time_index_irat_cca, where Lind,gaps ≤ Lind,gaps,max. When configured with DRX, the UE is not required to determine the availability of SMTC occasions more frequent than once per DRX cycle. When configured with measurement gaps, the UE is not required to determine the availability of SMTC occasions more frequent than once during MGRP.NOTE 4: Lind,gaps,max = 5 for Max(DRX cycle, SMTC period, MGRP) ≤ 40 ms, Lind,gaps,max = 3 for Max(DRX cycle, SMTC period, MGRP) ≤ 320 ms, and Lind,gaps,max = 2 for DRX cycle > 320 ms.",
