"Condition NOTE1,2,3,4",TPSS/SSS_sync_irat_cca
No DRX,"Max(600ms, (8 +LPSS/SSS,gaps) Max(MGRP, SMTC period))  Nfreq"
DRX cycle ≤ 320ms,"Max(600ms, Ceil((8+LPSS/SSS,gaps) 1.5)  Max(MGRP, SMTC period, DRX cycle))  Nfreq"
DRX cycle > 320ms,"(8+LPSS/SSS,gaps)  DRX cycle  Nfreq"
"NOTE 1:DRX or non DRX requirements apply according to the conditions described in section 5.NOTE 3: LPSS/SSS,gaps is the number of SMTC occasions not available at the UE during TPSS/SSS_sync_irat_cca, where LPSS/SSS,gaps ≤ LPSS/SSS,gaps,max. When configured with DRX, the UE is not required to determine the availability of SMTC occasions more frequent than once per DRX cycle. When configured with measurement gaps, the UE is not required to determine the availability of SMTC occasions more frequent than once during MGRP.NOTE 4:  LPSS/SSS,gaps = 12 for max(DRX cycle, SMTC period, MGRP) ≤ 40 ms LPSS/SSS,gaps = 8 for 40 ms < max(DRX cycle, SMTC period, MGRP) ≤ 320 ms, and LPSS/SSS,gaps = 5 for DRX cycle > 320 ms.",
