DRX cycle length (s),Tmeasure_inter (s) (DRX cycles)
≤ 0.08,Non DRX Requirements in clause 8.17.3.1 are applicable
0.08<DRX-cycle≤2.56,"Note (5* CSSFE-UTRA, NSA)"
Note:Time depends upon the DRX cycle in use,
